Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
Ability for the data center admin to integrate message hygiene (antispam/antivirus) with LDAP.,Basic Functional Requirements,email.pdf,1,Василий,,Integrity,Aydar,,,,,,,
Ability for the data center admin to provide message hygiene (antispam/antivirus) statistical reports.,Basic Functional Requirements,email.pdf,1,Василий,,Accountability,Aydar,,,,,,,
Ability for the user to encrypt outbound e-mail.,Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Ability for the user to establish TLS encryption with other businesses or customers.,Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Ability for the data center admin to protect the reputation of outbound mail gateways.,Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Ability for the data center admin to protect internal e-mail customer identity.,Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
"Ability for the user to access e-mail by secure web or client. (Calendar, Address book, Ability to send and receive).",Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Ability for the user to access mailbox and components via a web browser over a secure (encrypted) connection.,Basic Functional Requirements,email.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Every user account is protected with a personal password.,Security,vub.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Nobody except the specific user should be able to log into that account and change personal information.,Security,vub.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
The password of the user should be encrypted when submitted from user to server.,Security,vub.pdf,1,Василий,,Integrity,Aydar,,,,,,,
It should also be saved in an encrypted way in the database and no-one except the PMS should be able to access these passwords.,Security,vub.pdf,1,Василий,,Integrity,Aydar,,,,,,,
Direct access to the data stored in the database is only allowed for Administrator(s) using the CLI.,Security,vub.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"The user levels (see section 2.3) should always be respected with regard to editing, deleting and uploading publications (and their bibliographical details) .",Security,vub.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"The System shall provide the capability to operate in an Open Mode, within which authorized customers shall be allowed read-only access to requested Data Products.",Required States and Modes,nde.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"The System shall provide the capability to operate in a Restricted Access Mode, within which only users meeting certain criteria will be authorized access to the data.",Required States and Modes,nde.pdf,1,Василий,,Integrity,Aydar,,,,,,,
Criteria will be defined in the TBD Data Denial Plan.,Required States and Modes,nde.pdf,1,Василий,,continue,Aydar,continue of prevoius one,,,,,,
"The System shall provide an online capability for registered users to request subscriptions to xDRs, Ancillary, NOAA-Unique, and Tailored Data Products.",Capability Requirements,nde.pdf,1,Василий,,Other,Aydar,,,,,,,
"The System shall provide an online capability for the Government to approve subscription requests for xDRs, Ancillary, NOAA-Unique, and Tailored Data Products.",Capability Requirements,nde.pdf,1,Василий,,Other,Aydar,,,,,,,
The System shall ensure that NDE information is accessible only to those authorized to have access.,Capability Requirements,nde.pdf,1,Василий,,Integrity,Aydar,,,,,,,
The System shall be capable of registering Users for the purpose of controlling their access to System Elements and Data Products.,Capability Requirements,nde.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"The System shall comply with ESPC (DoC/NOAA/NESDIS) procedures and policies as stated in the NOAA IT Security Manual 212-1300, Version 3.3, dated May 15, 2007.",Security and Privacy Requirements,nde.pdf,1,Василий,,Other,Aydar,,,,,,,
The NDE System can be accessed only with the authorization of the Government.,Security and Privacy Requirements,nde.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"Administrative metrics – user access lists, data download estimates.",System Support,stewards.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"STEWARDS will follow industry best practices for authentication, using single-sign-on systems like Microsoft Active Directory to perform authentication.",Security Requirements,stewards.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Authentication addresses security requirements to ensure those using system are who they say they are.,Security Requirements,stewards.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
This is of greatest concern when data are being changed or updated.,Security Requirements,stewards.pdf,1,Василий,,Integrity,Aydar,,,,,,,
This is primarily done through userids and passwords.,Security Requirements,stewards.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Confidentiality security requirements describe the need to protect the data appropriately.,Security Requirements,stewards.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
STEWARDS will use the user classes described in section 2.3 above to define boundaries of information sharing to ensure confidentiality as appropriate.,Security Requirements,stewards.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
Any data that should be viewed by a restricted audience must be protected with appropriate security features.,Security Requirements,stewards.pdf,1,Василий,,Integrity,Aydar,,,,,,,
The integrity of STEWARDS data will be critical to its success as a product.,Security Requirements,stewards.pdf,1,Василий,,Integrity,Aydar,,,,,,,
Scientific research and publications will be based on the data obtained through the system.,Security Requirements,stewards.pdf,1,Василий,,Other,Aydar,Not security,,,,,,
"Therefore, extensive data validation and review will be performed both before data are uploaded to the system and as part of the upload process.",Security Requirements,stewards.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"The system will need policy and procedures protecting the data from intentional or unintentional modifications, and to ensure accurate data are made available.",Security Requirements,stewards.pdf,1,Василий,,Integrity,Aydar,,,,,,,
"For this system, availability will be concerned with the reliability of the software and network components. Intentional “denial of service attacks” is not foreseen as a significant concern.",Security Requirements,stewards.pdf,1,Василий,,Availability,Aydar,,,,,,,
"The DUAP System shall allow the system administrator to add, modify, and delete Input Services.",Administrative Services,mdot.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
"The DUAP System shall allow the system administrator to add, modify, and delete Computational Services. ",Administrative Services,mdot.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
"The DUAP System shall allow the system administrator to add, modify, and delete Output Services.",Administrative Services,mdot.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
"The DUAP System shall allow the system administrator to add, modify, and delete Presentation Services. ",Administrative Services,mdot.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
The DUAP System shall restrict access to authorized users.,Administrative Services,mdot.pdf,1,Василий,,Integrity,Aydar,,,,,,,
The DUAP System shall keep records of user access. ,Administrative Services,mdot.pdf,1,Василий,,Accountability,Aydar,,,,,,,
"The DUAP System shall allow a system administrator to add, modify and delete user access rights.",Administrative Services,mdot.pdf,1,Василий,,Integrity,Aydar,,,,,,,
The DUAP System shall be able to log system operations.,Administrative Services,mdot.pdf,1,Василий,,Accountability,Aydar,,,,,,,
The DUAP System shall log Administrative Services data transactions.,Administrative Services,mdot.pdf,1,Василий,,Accountability,Aydar,,,,,,,
The DUAP System shall require users to log in for system access.,Presentation Services,mdot.pdf,1,Василий,,Integrity,Aydar,,,,,,,
The DUAP Presentation Services shall require users to uniquely identify themselves.,Presentation Services,mdot.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
The DUAP Presentation Services shall require users to confirm their identity.,Presentation Services,mdot.pdf,1,Василий,,Confidentiality,Aydar,,,,,,,
"Access to the DUAP system shall be limited to usersauthorized by MDOT.",External Requirements,mdot.pdf,1,Василий,,Integrity,Aydar,,,,,,,
